"","Sample_ID","Plate_Number","Cq","qPCR_Coordinate","Row","Col","UDI_ID","Set","cycles_15","cycles_18","cycles_21","cycles_24","cycles_27","cycles_28","order","Index_cord"
"27","267_N54","TP3","17","C8","C",4,"UDI12A_0027","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,27,"C_4"
"28","272_N56","TP3","17","C11","D",4,"UDI12A_0028","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,28,"D_4"
"29","216_N58","TP2","17","G8","E",4,"UDI12A_0029","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29,"E_4"
"30","200_N59","TP2","17","F1","F",4,"UDI12A_0030","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,30,"F_4"
"31","282_N59","TP3","17","D6","G",4,"UDI12A_0031","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,31,"G_4"
"32","220_617","TP2","18","G9","H",4,"UDI12A_0032","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,32,"H_4"
"33","224_663","TP2","18","H3","A",5,"UDI12A_0033","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,33,"A_5"
"34","272_675","TP3","18","C12","B",5,"UDI12A_0034","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34,"B_5"
"35","228_679","TP2","18","H6","C",5,"UDI12A_0035","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,35,"C_5"
"36","204_689","TP2","18","F7","D",5,"UDI12A_0036","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,36,"D_5"
"37","282_695","TP3","18","D7","E",5,"UDI12A_0037","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,37,"E_5"
"38","277_699","TP3","18","D3","F",5,"UDI12A_0038","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38,"F_5"
"39","208_713","TP2","18","F9","G",5,"UDI12A_0039","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39,"G_5"
"40","224_719","TP2","18","H4","H",5,"UDI12A_0040","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,40,"H_5"
"41","212_741","TP2","18","G3","A",6,"UDI12A_0041","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,41,"A_6"
"42","212_753","TP2","18","G4","B",6,"UDI12A_0042","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42,"B_6"
"43","224_1220","TP2","18","H1","C",6,"UDI12A_0043","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,43,"C_6"
"44","192_1280","TP2","18","E8","D",6,"UDI12A_0044","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,44,"D_6"
"45","204_1332","TP2","18","F6","E",6,"UDI12A_0045","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,45,"E_6"
"46","204_1340","TP2","18","F8","F",6,"UDI12A_0046","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,46,"F_6"
"47","247_1452","TP3","18","B3","G",6,"UDI12A_0047","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,47,"G_6"
"48","192_3342","TP2","18","E5","H",6,"UDI12A_0048","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,48,"H_6"
"49","188_3343","TP2","18","E4","A",7,"UDI12A_0049","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,49,"A_7"
"50","257_3421","TP3","18","B12","B",7,"UDI12A_0050","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,50,"B_7"
"51","272_3446","TP3","18","C9","C",7,"UDI12A_0051","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,51,"C_7"
"52","200_4360","TP2","18","F3","D",7,"UDI12A_0052","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,52,"D_7"
"53","252_4503","TP3","18","B6","E",7,"UDI12A_0053","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,53,"E_7"
