Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
220_3421	95.88	2119.0
220_617	52.85	7733700.0
220_675	46.39	7223187.0
220_695	46.09	4896461.0
224_1220	48.78	7611426.0
224_663	47.02	6190689.0
224_719	44.23	5816596.0
224_N53	43.09	5089763.0
228_679	40.17	4103659.0
232_1004	41.39	1678615.0
232_1463	62.15	3602955.0
232_N46	48.31	5290058.0
232_N60	51.45	6318993.0
237_1332	55.53	4756028.0
237_3343	44.3	3964545.0
237_N49	50.63	4423261.0
237_N67	46.17	6258759.0
23_1332	33.67	1115244.0
23_1470	15.59	1194305.0
23_N50	34.59	2737431.0
242_3420	52.4	6640025.0
242_765	48.7	4635443.0
242_N70	59.1	5385158.0
242_N72	32.17	330773.0
247_1280	49.56	5333954.0
247_1452	58.8	8924170.0
247_1455	25.84	116.0
247_719	55.48	4112656.0
252_3342	60.6	7461918.0
252_4360	58.3	5574056.0
252_4503	54.7	5883444.0
252_4616	42.22	198.0
257_1340	52.55	5449787.0
257_3421	42.15	6332844.0
257_741	58.32	6611666.0
257_N73	36.79	2180867.0
262_1220	51.09	4124003.0
262_N48	59.19	1408331.0
262_N50	57.16	3863491.0
262_N52	49.68	4712470.0
267_1470	51.47	5233249.0
267_713	57.56	5735421.0
267_753	55.86	7768076.0
267_N54	57.15	7254885.0
272_3446	45.96	2826630.0
272_675	55.91	4987812.0
272_N56	53.07	5347933.0
272_N58	54.65	4468823.0
277_617	57.83	6351878.0
277_679	52.01	5275460.0
277_699	53.03	5341329.0
277_N53	51.54	1105800.0
282_663	57.72	9333566.0
282_689	60.26	5644012.0
282_695	53.9	7017486.0
282_N59	62.31	5995648.0
287_693	51.53	5336508.0
28_3343	42.76	2111673.0
28_695	27.12	1222994.0
28_N67	32.98	1740747.0
292_LC024	40.68	3541492.0
292_LC124	43.17	2132635.0
292_LC129	45.55	5028494.0
292_MC005	10.09	1520970.0
297_LC013	42.01	4011522.0
297_LC018	52.92	4810179.0
297_LC125	53.07	7718514.0
297_LC127	53.55	4305890.0
302_LC007	51.79	6027330.0
302_LC123	47.9	4977077.0
302_LC126	44.69	4554561.0
302_LC157	51.64	4805662.0
307_LC077	57.51	5260327.0
307_LC114	1.73	17347.0
307_MC014	48.5	4965310.0
307_MC027	48.34	3747825.0
312_LC062	2.69	1332.0
312_LC064	48.48	3409176.0
312_LC088	56.91	4369963.0
312_MC011	52.14	4931295.0
317_LC079	50.77	4119743.0
317_LC085	56.17	5452390.0
317_LC110	50.78	3576389.0
317_MC026	44.71	7442509.0
322_LC016	46.09	5579005.0
322_LC101	43.69	2761705.0
322_LC122	41.79	3714872.0
322_MC019	41.63	3529687.0
327_LC042	56.04	4569287.0
327_LC058	56.14	6300843.0
327_LC115	61.24	6253318.0
327_MC002	58.9	4099542.0
332_LC043	65.67	7826793.0
332_LC045	58.85	7713079.0
332_LC049	54.29	7188896.0
332_LC078	59.39	6462764.0
337_LC003	52.95	2888963.0
337_LC041	46.25	3690258.0
337_LC056	62.74	6852110.0
337_MC032	44.03	3332434.0
33_1452	36.04	1740933.0
33_1455	19.81	774703.0
33_719	29.21	1854923.0
342_LC005	46.72	2115748.0
342_LC048	49.04	8307914.0
342_LC053	62.36	5342478.0
342_LC055	59.97	7612232.0
347_LC052	55.45	6214169.0
38_1004	21.1	1320676.0
38_N46	39.34	6003778.0
38_N70	23.62	1306825.0
3_4503	23.7	1356441.0
3_4616	18.42	1662651.0
3_689	22.92	2318445.0
43_3421	22.0	1094349.0
43_675	51.71	7952025.0
43_N73	33.18	1810264.0
48_1463	40.18	1883338.0
48_663	25.96	1116866.0
48_753	25.55	1723737.0
53_693	26.63	1889779.0
53_765	53.0	4215203.0
53_N49	36.49	2787485.0
58_3420	52.66	4929795.0
58_617	14.36	2064068.0
58_N52	28.12	2684552.0
63_1220	43.85	4912601.0
63_679	44.51	5281758.0
63_N56	42.44	4368664.0
68_4360	45.88	3979500.0
68_N54	23.85	2457877.0
68_N58	36.22	4223632.0
73_3342	48.34	4195668.0
73_3446	15.34	944814.0
73_N53	34.66	4488331.0
78_LC003	52.47	3415869.0
78_LC041	23.32	1900120.0
78_LC056	30.97	1364371.0
78_LC078	30.02	2844751.0
83_LC042	25.94	1912917.0
83_LC049	28.43	1680173.0
83_LC053	29.23	1415604.0
83_LC115	30.94	1257283.0
88_LC005	13.22	1369389.0
88_LC043	30.19	1950666.0
88_LC045	31.3	3541336.0
88_MC032	27.92	1986927.0
8_699	28.5	2983861.0
8_741	31.45	1964764.0
8_N72	18.27	1201524.0
93_LC048	25.69	877288.0
93_LC052	31.41	1202973.0
93_LC055	38.8	3603887.0
93_LC088	25.59	1748707.0
98_LC079	23.16	2046225.0
98_LC085	53.53	7293713.0
98_MC011	19.68	1210101.0
98_MC014	21.15	1225424.0
